,Latitude_h,Longitude_h,distance_km,amenity_Referral Hospital,amenity_Teaching Hospital,amenity_Type A Hospital,amenity_Type B Hospital,amenity_Type C Hospital,amenity_Type D Hospital,amenity_clinic,amenity_dentist,amenity_doctors,amenity_hospital,amenity_pharmacy
0,15.4509373,32.4916878,11.985223472788306,False,False,False,False,False,False,False,False,False,False,True
1,15.4430628,32.489563,12.880180335085267,False,False,False,False,False,False,False,False,False,False,True
2,15.4404373,32.4903107,13.124168689445808,False,False,False,False,False,False,False,False,False,False,True
3,15.5984329,32.6189537,10.62126179614106,False,False,False,False,False,False,False,False,False,False,True
4,15.5330492,32.5694639,4.484829892130136,False,False,False,False,False,False,False,False,False,False,True
5,14.8036371,33.4733517,19.66371950527912,False,False,False,False,False,False,False,False,True,False,False
6,14.7264294,33.3525065,6.506085319561024,False,False,False,False,False,False,False,False,False,True,False
7,14.7299751,33.2983151,2.5033760447388995,False,False,False,False,False,False,False,False,False,True,False
8,14.2251635,33.0226014,4.282085823959975,False,False,False,False,False,False,False,False,False,True,False
9,14.7387066,33.2999175,1.5459122847545552,False,False,False,False,False,False,False,False,False,False,True
10,14.7387891,33.3004108,1.5433868482285764,False,False,False,False,False,False,False,False,False,False,True
11,13.8217859,33.5397245,28.11384272354629,False,False,False,False,False,False,False,False,False,False,True
12,13.9587969,34.148928,76.26630963724294,False,False,False,False,False,False,True,False,False,False,False
13,15.4557589,36.3955747,0.7091180762920576,False,False,False,False,False,False,False,False,False,False,True
14,15.539468,32.563093,3.56410344148346,False,False,False,False,False,False,True,False,False,False,False
15,15.5275621,32.5356865,2.705094628390068,False,False,False,False,False,False,False,False,False,False,True
16,15.5308806,32.5476554,2.834887579265695,False,False,False,False,False,False,False,False,False,False,True
17,14.3928487,33.5395935,2.316160081604965,False,False,False,False,False,False,False,False,False,False,True
18,14.3983607,33.5248292,0.6174745505337969,False,False,False,False,False,False,False,False,False,False,True
19,14.3983555,33.5252717,0.6592799205214007,False,False,False,False,False,False,False,False,False,False,True
20,14.3965021,33.5265425,0.8850729286305511,False,False,False,False,False,False,False,False,False,True,False
21,15.55909,32.5797256,5.140205906138801,False,False,False,False,False,False,False,False,False,False,True
22,15.5624431,32.5785809,5.091756316917143,False,False,False,False,False,False,False,False,False,False,True
23,15.5636307,32.577831,5.046005674098688,False,False,False,False,False,False,False,False,False,False,True
