,Latitude_h,Longitude_h,amenity_Referral Hospital,amenity_Teaching Hospital,amenity_Type A Hospital,amenity_Type B Hospital,amenity_Type C Hospital,amenity_Type D Hospital,amenity_clinic,amenity_dentist,amenity_doctors,amenity_hospital,amenity_pharmacy
0,15.4509373,32.4916878,False,False,False,False,False,False,False,False,False,False,True
1,15.4430628,32.489563,False,False,False,False,False,False,False,False,False,False,True
2,15.4404373,32.4903107,False,False,False,False,False,False,False,False,False,False,True
3,15.5984329,32.6189537,False,False,False,False,False,False,False,False,False,False,True
4,15.5330492,32.5694639,False,False,False,False,False,False,False,False,False,False,True
5,14.8036371,33.4733517,False,False,False,False,False,False,False,False,True,False,False
6,14.7264294,33.3525065,False,False,False,False,False,False,False,False,False,True,False
7,14.7299751,33.2983151,False,False,False,False,False,False,False,False,False,True,False
8,14.2251635,33.0226014,False,False,False,False,False,False,False,False,False,True,False
9,14.7387066,33.2999175,False,False,False,False,False,False,False,False,False,False,True
10,14.7387891,33.3004108,False,False,False,False,False,False,False,False,False,False,True
11,13.8217859,33.5397245,False,False,False,False,False,False,False,False,False,False,True
12,13.9587969,34.148928,False,False,False,False,False,False,True,False,False,False,False
13,15.4557589,36.3955747,False,False,False,False,False,False,False,False,False,False,True
14,15.539468,32.563093,False,False,False,False,False,False,True,False,False,False,False
15,15.5275621,32.5356865,False,False,False,False,False,False,False,False,False,False,True
16,15.5308806,32.5476554,False,False,False,False,False,False,False,False,False,False,True
17,14.3928487,33.5395935,False,False,False,False,False,False,False,False,False,False,True
18,14.3983607,33.5248292,False,False,False,False,False,False,False,False,False,False,True
19,14.3983555,33.5252717,False,False,False,False,False,False,False,False,False,False,True
20,14.3965021,33.5265425,False,False,False,False,False,False,False,False,False,True,False
21,15.55909,32.5797256,False,False,False,False,False,False,False,False,False,False,True
22,15.5624431,32.5785809,False,False,False,False,False,False,False,False,False,False,True
23,15.5636307,32.577831,False,False,False,False,False,False,False,False,False,False,True
24,15.5695767,32.5774348,False,False,False,False,False,False,False,False,False,False,True
25,15.565561,32.578515,False,False,False,False,False,False,False,False,False,False,True
26,15.5635911,32.5783619,False,False,False,False,False,False,False,False,False,False,True
27,15.5384998,32.582725,False,False,False,False,False,False,False,False,False,False,True
28,15.5696033,32.5356057,False,False,False,False,False,False,False,True,False,False,False
29,15.5878124,32.560688,False,False,False,False,False,False,False,False,False,False,True
30,15.6126871,32.444561,False,False,False,False,False,False,False,False,False,False,True
31,15.6138124,32.4411888,False,False,False,False,False,False,False,False,False,False,True
32,15.6134377,32.4581871,False,False,False,False,False,False,False,False,False,False,True
33,15.6083126,32.454937,False,False,False,False,False,False,False,False,False,False,True
34,15.6086874,32.4595642,False,False,False,False,False,False,False,False,False,False,True
35,15.5870628,32.456562,False,False,False,False,False,False,False,False,False,False,True
36,15.5826874,32.4523125,False,False,False,False,False,False,False,False,False,False,True
37,15.6035021,32.5349506,False,False,False,False,False,False,False,False,False,True,False
38,15.5365629,32.5256882,False,False,False,False,False,False,False,False,False,False,True
39,15.7515477,32.5747989,False,False,False,False,False,False,True,False,False,False,False
40,15.7510624,32.5766869,False,False,False,False,False,False,False,False,False,False,True
41,15.7505627,32.5790634,False,False,False,False,False,False,False,False,False,False,True
42,15.7585621,32.5881882,False,False,False,False,False,False,False,False,False,False,True
43,15.7646875,32.5823135,False,False,False,False,False,False,False,False,False,False,True
44,15.7764378,32.586937,False,False,False,False,False,False,False,False,False,False,True
45,15.6332069,32.6238649,False,False,False,False,False,False,False,False,False,False,True
46,15.6344297,32.6244305,False,False,False,False,False,False,False,False,False,False,True
47,15.6297188,32.6305632,False,False,False,False,False,False,False,False,False,False,True
48,15.6406018,32.6329146,False,False,False,False,False,False,False,False,False,False,True
49,15.6379525,32.6319196,False,False,False,False,False,False,False,False,False,False,True
50,15.6418846,32.6390093,False,False,False,False,False,False,False,False,False,False,True
51,15.6468599,32.6328409,False,False,False,False,False,False,False,False,False,False,True
52,15.7013502,32.6356431,False,False,False,False,False,False,False,False,False,False,True
53,15.6924137,32.4899857,False,False,False,False,False,False,True,False,False,False,False
54,15.6447007,32.4860052,False,False,False,False,False,False,False,False,False,False,True
55,15.7203121,32.5790634,False,False,False,False,False,False,False,False,False,False,True
56,15.6896877,32.5481873,False,False,False,False,False,False,True,False,False,False,False
57,14.3886943,33.5354004,False,False,False,False,False,False,False,False,False,False,True
58,15.5141878,32.6928139,False,False,False,False,False,False,False,False,False,False,True
59,15.5171871,32.6895638,False,False,False,False,False,False,False,False,False,False,True
60,15.5273123,32.5245628,False,False,False,False,False,False,False,False,False,False,True
61,15.5074053,32.5793999,False,False,False,False,False,False,False,False,False,False,True
62,15.0140674,33.0925522,False,False,False,False,False,False,False,False,False,False,True
63,15.6834392,32.4411412,False,False,False,False,False,False,False,False,False,False,True
64,15.6591873,32.4863129,False,False,False,False,False,False,False,False,False,False,True
65,15.6478128,32.4465637,False,False,False,False,False,False,False,False,False,False,True
66,15.621563,32.4609375,False,False,False,False,False,False,False,False,False,False,True
67,15.7003437,32.5069676,False,False,False,False,False,False,False,False,True,False,False
68,15.6821884,32.4992486,False,False,False,False,False,False,False,False,False,False,True
69,15.6913128,32.5489388,False,False,False,False,False,False,False,False,False,False,True
70,15.7059596,32.5086777,False,False,False,False,False,False,False,False,False,False,True
71,15.7349285,32.4596196,False,False,False,False,False,False,False,False,False,False,True
72,15.6301165,32.4884043,False,False,False,False,False,False,False,False,False,False,True
73,14.4275804,33.5000462,False,False,False,False,False,False,False,False,False,False,True
74,15.6431792,32.4844281,False,False,False,False,False,False,False,False,False,False,True
